incident_id,date,lat,lon,city,state,address,injured,killed,child_involved,officer_involved,mass_shooting,accidental,domestic_violence,drive_by,link,year,month,total,fatal,mass,index_right,neighborhood
211939,2014-10-24,28.4582,-81.498,Orlando,Florida,7300 block of Burnway Dr,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/211939,2014,10,2,False,False,,
213031,2014-10-27,28.4302,-81.4702,Orlando,Florida,International Drive,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/213031,2014,10,2,False,False,,
213948,2014-10-29,28.5597,-81.4594,Orlando,Florida,Hastings Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/213948,2014,10,1,False,False,,
214790,2014-11-01,28.4678,-81.3902,Orlando,Florida,6239 Luzon Dr,2,0,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/214790,2014,11,2,False,False,,
216128,2014-11-04,28.5089,-81.2127,Orlando,Florida,Heming Way,0,2,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/216128,2014,11,2,True,False,,
216749,2014-11-05,28.577940529417656,-81.45865898951025,Orlando,Florida,Silver Star Road,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/216749,2014,11,1,False,False,,
218594,2014-11-09,28.4373,-81.3407,Orlando,Florida,Centerport Street and Daetwyler Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/218594,2014,11,1,False,False,94.0,Southport
224440,2014-11-23,28.5497,-81.3801,Orlando,Florida,578 N Orange Ave,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/224440,2014,11,2,False,False,82.0,Central Business District
224437,2014-11-23,28.5749,-81.4736,Orlando,Florida,6872 Alta Westgate Dr,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/224437,2014,11,1,True,False,,
224435,2014-11-23,28.5471,-81.4676,Orlando,Florida,N Powers Dr and W Livingston St,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/224435,2014,11,1,True,False,,
226831,2014-11-30,28.5392,-81.389,Orlando,Florida,Parramore and Jackson streets,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/226831,2014,11,1,False,False,66.0,Holden/Parramore
